id,user_screen_name,text,local_time
1091275696448581632,ProjectBreath,"What does the #lungcancer community think about the term #cancersurvivor?  @ros1cancer @EGFRResisters @ALKLungCancer @lcsmchat @lung_retweet #lcsm « Afaf_Girgis: What #cancerterminology would be more appropriate and acceptable than #cancersurvivor? This is an ongoing question, with many views. Pehaps this can be debated at the upcoming @COSA_Surviv @hagsie @bogda_koczwara ??? https://twitter.com/ConcertTcrc/status/1089692091070832640 — https://twitter.com/Afaf_Girgis/status/1089700884211060736 »",2019-02-01T10:02:55
1083542572163911683,stu12bball,@lcsmchat hello all new to the forum.  Dad recently diagnosed lung cancer stage IV.  He’s PD-L1.  Oncologist recommending standard first line treatment. Will consider PD-L1 immunotherapy as second line treatment. Any recommendation from the audience  #LCSM,2019-01-11T01:54:15
1078679142479118337,StephenVLiu,Article in press @JTOonline by @Ng_Terry_L describes higher risk of thromboembolic events in ROS1 positive #NSCLC. Important to keep in mind in clinic  @ros1cancer #LCSM  https://www.jto.org/article/S1556-0864(18)33509-3/,2018-12-28T15:48:43
1073677215668133888,peggyddennis,"@lgreco_ny @tilting @BrendonStilesMD @EGFRResisters @ALKLungCancer @JFreemanDaily @jillfeldman4 @ivybelkins @NLCRTnews @lcsmchat @dennycee @NIH @NCI I appreciate everything these organizations and our advocates are doing. But in Lungevity’s EDUCATION videos, not one is about chemo or radiation yet 8 out of 14 are about targeted treatment. I get it, chemo/radiation-not sexy or new but might also save someone’s life. Hope #lcsm",2018-12-14T20:32:50
1073601951047180288,JFreemanDaily,"@tilting @lgreco_ny @ros1cancer @BrendonStilesMD @peggyddennis @EGFRResisters @ALKLungCancer @jillfeldman4 @ivybelkins @NLCRTnews @MBC_Project We’re a #lungcancer community. 10 yrs ago, #lungcancer as a whole lacked effective systemic treatments. #CancerResearch has made progress in some subtypes, but we still have a long way to go before all LC patients benefit from new treatments. #lcsm",2018-12-14T15:33:46
1072247563246600198,BrendonStilesMD,"Talking #survivorship at #nlcrt2018.   Questions for @EGFRResisters @ALKLungCancer @ros1cancer @JFreemanDaily @jillfeldman4 @lgreco_ny @ivybelkins (and many others) What areas should ""survivorship"" focus on? Let's help @NLCRTnews drive efforts in this area. #lcsm",2018-12-10T21:51:55
1072247563246600198,BrendonStilesMD,"Talking #survivorship at #nlcrt2018.   Questions for @EGFRResisters @ALKLungCancer @ros1cancer @JFreemanDaily @jillfeldman4 @lgreco_ny @ivybelkins (and many others) What areas should ""survivorship"" focus on? Let's help @NLCRTnews drive efforts in this area. #lcsm",2018-12-10T21:51:55
1072363827101081601,JFreemanDaily,"@ProjectBreath @BrendonStilesMD @EGFRResisters @ALKLungCancer @ros1cancer @jillfeldman4 @lgreco_ny @ivybelkins @NLCRTnews Some say ""survivor"" is anyone who has received a cancer diagnosis, but that sounds like cancer is done with me. I'm stage 4 NSCLC--despite treatment with a TKI, my cancer could become active at any time. Like @1111linno, I prefer to say I am SURVIVING cancer.  #LCSM",2018-12-11T05:33:54
1064890677413203968,plh4lisa,Yesterday 433 #Americans lost their lives to #LungCancer.  Far beyond a crisis. Where is the research funding? @SenCoryGardner @RepDLamborn @SenBennetCO @CDCgov #433aday #EndtheStigma @EGFRResisters @ALKLungCancer @ros1cancer #LungCancerAwarenessMonth  #lcsm #lcam #saveourlungs,2018-11-20T14:38:16
1059896289419120642,double_whammied,Hey #lungcancer peeps ... @JFreemanDaily @LungCancerFaces @ros1cancer  @ivybelkins @LCAM_org etc.  What are the most common MISCONCEPTIONS about this lung cancer?  #lcsm,2018-11-06T19:52:21
1051131725764538371,DrewMoghanaki,"Call me late, but I just learned about - and am following - the EGFR RESISTERS. @EGFRResisters #lcsm https://twitter.com/DrewMoghanaki/status/1051131725764538371/photo/1",2018-10-13T15:25:07
1051131725764538371,DrewMoghanaki,"Call me late, but I just learned about - and am following - the EGFR RESISTERS. @EGFRResisters #lcsm https://twitter.com/DrewMoghanaki/status/1051131725764538371/photo/1",2018-10-13T15:25:07
1050120403165822980,DrSanjayPopat,"Let’s just get the basics of molecular testing right (100%) @chrisdraft - before we move on to NGS #LCSM « StephenVLiu: Nice report in @JCO_ASCO Precision Oncology by @MattGubensMD outlining real-world ALK testing . In non-squamous #NSCLC, testing done in 67% in an era where it should be 100%. We can't prescribe the right treatment without testing. Have to do better.  http://ascopubs.org/doi/pdf/10.1200/PO.18.00159 — https://twitter.com/StephenVLiu/status/1049482737416056832 »",2018-10-10T20:26:29
1048009045033017344,steele_bob,Which topic/Tx reported the greatest progress? #lcsm,2018-10-05T00:36:42
1044927901832028161,notahedge,"@drgandara @VamsiVelcheti @apassaroMD @rdoebele  How to best implement #PACIFICtrial in practice? Any unanswered Qs? New Qs? What does the future of unresectable #NSCLC look like? #lcsm #WCLC2018 « notahedge: Unresectable/ Stg III NSCLC, 3 goals: ◾Locoregional control= CRT--> plateaued benefit ✅ ◾Eradicate systemic micromets= #PACIFICTrial--> scope for imp ◾Enrich for benefit= open field--> cfDNA/ driver mutations/ PDL1 #LCSM #WCLC2018 @IASLC  https://www.nejm.org/doi/full/10.1056/NEJMoa1809697?query=featured_home — https://twitter.com/notahedge/status/1044609355117735938 »",2018-09-26T12:33:20
1044673086614835202,Jbauml,"Surprising to me, ORR similar for MET amplification and mutations.  Again, PFS less than 6 months for both.  #WCLC2018 #LCSM https://twitter.com/Jbauml/status/1044673086614835202/photo/1",2018-09-25T19:40:47
1044248185118633984,ros1cancer,"Discussant conclusion for #ROS1 drugs. Given small population of ROS1 patients, wish pharma would collaborate on remote enrollment trial in @ros1cancer group to collect data on resistance mechanisms and quality of life for ROS1 drugs. #WCLC2018 #LCSM https://twitter.com/ros1cancer/status/1044248185118633984/photo/1",2018-09-24T15:32:23
1044235259599040513,Jbauml,"Of course important to consider toxicity.  Entrectinib causes some unique AES, notably dysgeusia (change in taste) and ironically concurrent weight gain and increased appetite.  #WCLC2018 #LCSM https://twitter.com/Jbauml/status/1044235259599040513/photo/1",2018-09-24T14:41:01
1044234296398155777,Jbauml,"Clearly an active drug in this setting.  Noteworthy that a significant proportion of patients had CNS disease at baseline, and we did see responses even in this population #WCLC2018 #LCSM https://twitter.com/Jbauml/status/1044234296398155777/photo/1",2018-09-24T14:37:11
1044233209570045952,Jbauml,First up @rdoebele speaking about entrectinib in ROS1+ NSCLC #LCSM #WCLC2018 https://twitter.com/Jbauml/status/1044233209570045952/photo/1,2018-09-24T14:32:52
1038413978144145408,GuneetWalia,"@BairdAM @ros1cancer @TheALCF @GA4GH @ucsc @CharlesSawyers Dr. Lawler & the team also wanted to feature our work on the @ROS1Cancer data- and bio-repository efforts in this NEJM article at the time, but we were just starting out, & the article ended up changing to a shorter version https://www.nejm.org/doi/full/10.1056/NEJMp1612254 #LCSM #DataSharing",2018-09-08T13:09:19
1018952980253560833,JenniferCKing,"#lcsm community - we really want to learn about your thoughts on clinical trials.  Motivations, issues, how you want info, etc. Please consider answering! I know many of you have considered trials @EGFRResisters @ALKLungCancer @ros1cancer Thanks! https://www.research.net/r/LCA_Summer2018",2018-07-16T20:18:16
1002911737157472256,lgreco_ny,Future possibilities for @ros1cancer  ..   #lcsm #ASCO18 https://twitter.com/lgreco_ny/status/1002911737157472256/photo/1,2018-06-02T13:56:05
1002911737157472256,lgreco_ny,Future possibilities for @ros1cancer  ..   #lcsm #ASCO18 https://twitter.com/lgreco_ny/status/1002911737157472256/photo/1,2018-06-02T13:56:05
1002675958518870021,Jbauml,Fascinating slide evaluating PDL1 across patients with oncogenic drivers. Look at the size of those bars - confirms that PDL1 can be positive regardless of presence of oncogenic driver!  Still should get TKI first IMO #asco18 #lcsm https://twitter.com/Jbauml/status/1002675958518870021/photo/1,2018-06-01T22:19:11
1002511233256484864,DrSanjayPopat,Brilliant news that crizotinib is now NICE approved for use in ROS1 #NSCLC #LCSM @ros1cancer « NICEComms: Lung cancer patients will soon get early access to crizotinib after we recommended it for more patients via the #CDF https://www.nice.org.uk/guidance/gid-ta10127/documents/html-content-2?utm_medium=social&utm_source=twitter&utm_campaign=crizotinibrosfad #lungcancer https://twitter.com/NICEcomms/status/1002218143257784320/photo/1 — https://twitter.com/nicecomms/status/1002218143257784320 »,2018-06-01T11:24:38
998735721258278913,stales,T2: How do we build successful partnerships in clinical research?  How can patient advocates get started? @amos18 @chemobrainfog #bcsm,2018-05-22T01:22:06
997271746024820737,kgkeesling,"@JFreemanDaily Since getting involved in the Lung Cancer Initiative of NC, I've seen a lot more advocacy and am encouraged to advocate more myself. #LCSM",2018-05-18T00:24:47
997266944171667456,diianeee,I’m wondering if there is anyone that has the egfr mutation that has tried immunotherapy??  #lcsm,2018-05-18T00:05:42
996835628535963648,VirginiaMByrne,What about ALK lung cancer mutations? @pathologistmag #lcsm @ALKPositiveLung @ros1cancer @JFreemanDaily @bonniejaddario « pathologistmag: Can revised guidelines help improve treatment for lung cancer patients? Neal Lindeman of @AMPath discusses http://bit.ly/2jTpdg2 — https://twitter.com/pathologistmag/status/996467756299096066 »,2018-05-16T19:31:48
992419350614282246,coffeemommy,"How might we help research community address disparities across trial recruitment? Themes of patient education, clear risk/benefit statements & easy access are no brainers. And then let's talk about bringing patients in as PARTNERS not subjects. #bcsm #lcsm #gyncsm #btsm #EAOnc « findlungcancer: Recruitment to @eaonc trails lacks racial and ethnic diversity - need to do better #lcsm #bcsm #hcldr #publichealth https://twitter.com/findlungcancer/status/992417956687761410/photo/1 — https://twitter.com/findlungcancer/status/992417956687761410 »",2018-05-04T15:03:06
985498006052114434,JFreemanDaily,Happy to have a few minutes to chat with @LeciaSequist before her presentation at #AACR2018 #lcsm @ros1cancer https://twitter.com/JFreemanDaily/status/985498006052114434/photo/1,2018-04-15T12:40:08
984084366870560768,rdoebele,5. Compound or multiple kinase domain mutations appear more common with NGS and/or ctDNA testing (and more prior TKIs). https://tinyurl.com/y83a36fm https://tinyurl.com/ybts25ny #LCSM https://twitter.com/rdoebele/status/984084366870560768/photo/1,2018-04-11T15:02:51
984084358666399746,rdoebele,"2. Gene fusions (NRG1 and RET) can be resistance mechanisms to ALK inhibitors. https://tinyurl.com/y83a36fm Oh, and ALK fusions can drive resistance to EGFR. https://tinyurl.com/ybts25ny #LCSM https://twitter.com/rdoebele/status/984084358666399746/photo/1",2018-04-11T15:02:49
982050527767773184,jamesian,"@JFreemanDaily Hi - Here is a research article about pan-cancer, meaning across many kinds of cancer, discoveries. Was big topic among rsrchrs today https://www.sciencedirect.com/science/article/pii/S2405471218300978?_rdoc=1&_fmt=high&_origin=gateway&_docanchor=&md5=b8429449ccfc9c30159a5f9aeaa92ffb #lcsm",2018-04-06T00:21:06
976983224101621760,APassaroMD,"@JFreemanDaily @lcsmchat Misinformations is a great danger, when is not filtrate by a Doc, in particular when we focus on new target agents #lcsm",2018-03-23T00:45:26
976980507899645953,JackWestMD,T3) @JFreemanDaily As in 1-2 designated researchers who have a potentially ongoing relationship w/the group? #lcsm,2018-03-23T00:34:39
972642295718862849,EGFRResisters,Lung cancer caused by EGFR mutations is NOT associated with smoking & we are a growing % of lung cancer cases. @BrendonStilesMD talks about the the new face of #lungcancer. #lcsm https://ctsurgerypatients.org/never-smokers-the-new-face-of-lung-cancer,2018-03-11T01:16:08
951624406773592064,GreenButAlsoBlu,Hello to #lcsm. I'm a family member of a Stage IV diag 9/17 ROS1,2018-01-12T01:18:33
942956919974658048,Milagros1Elia,@stales Thank you ! Just learning how to join in on tweeter chats :) So glad to have found #bcsm - will tune in on monday's from now on :),2017-12-19T03:17:03
942947924966891520,Milagros1Elia,#BCSM,2017-12-19T02:41:19
941476936957784064,lysabee,@rdoebele Hi there! you got my tissue today. YAY!! #lcsm,2017-12-15T01:16:08
941476936957784064,lysabee,@rdoebele Hi there! you got my tissue today. YAY!! #lcsm,2017-12-15T01:16:08
936405750565310464,DavidCookeMD,Examples? #LCSM « JFreemanDaily: T1: #SoMe connections have enabled many patients to find others with their condition that are geographically nearby #lcsm — https://twitter.com/JFreemanDaily/status/936405664972378117 »,2017-12-01T01:25:03
935200360301346817,ros1cancer,@BairdAM @TheALCF Awesome!  Thanks for letting us know.  #ROS1 #LCSM,2017-11-27T17:35:15
935169693215870977,BairdAM,@ros1cancer - you guys got a shout out at #EAPMBelfast2017 for patient driven research :) #lcsm #lcam @TheALCF,2017-11-27T15:33:24
918289659888852992,womenofteal,@JFreemanDaily And you were instrumental in finding a study you could participate in.  #gyncsm,2017-10-12T01:38:10
